x,y,z,time,fragment_id
0.584,4.2281,8.6297,1604637666522,165
0.9435,3.9037,9.0802,1604637666542,165
0.9494,3.8991,9.0008,1604637666562,165
0.9654,4.0468,9.1805,1604637666582,165
0.8181,3.837,8.8848,1604637666602,165
-0.1866,3.9841,8.9626,1604637666842,165
-0.46,4.1333,9.5498,1604637666862,165
-0.5186,4.3737,9.5134,1604637666882,165
0.341,3.4936,9.1052,1604637667282,165
0.3956,3.464,9.1521,1604637667302,165
0.4913,3.3794,9.1036,1604637667322,165
0.6096,3.2399,9.0577,1604637667342,165
0.2496,3.5018,8.8728,1604637667461,165
0.2162,3.4902,9.0784,1604637667482,165
0.1583,3.4095,9.6798,1604637667502,165
0.0023,3.5051,9.4082,1604637667682,165
0.165,3.3452,9.4061,1604637667701,165
0.4738,3.147,9.5258,1604637667722,165
0.465,3.2046,9.2129,1604637667742,165
-0.1946,3.5862,10.2365,1604637667942,165
0.0629,3.7002,9.9469,1604637667961,165
0.0961,3.6851,9.519,1604637667982,165
-0.1565,3.7506,8.8736,1604637668182,165
-0.1146,3.8581,9.3673,1604637668202,165
-0.246,4.1438,9.5848,1604637668221,165
-0.2447,3.8056,9.8591,1604637668242,165
0.4537,2.8716,9.0846,1604637668522,165
0.6186,3.2949,9.3913,1604637668541,165
0.6286,3.2168,10.4438,1604637668562,165
1.0315,2.9216,8.7587,1604637668702,165
1.0579,2.7376,9.1013,1604637668721,165
1.0562,2.7801,9.5454,1604637668742,165
0.6002,2.9004,9.4245,1604637668762,165
-0.6969,3.8207,8.5736,1604541427136,166
-0.8174,3.8484,8.6116,1604541427156,166
-0.6518,3.7398,8.3782,1604541427176,166
-3.1353,4.1782,7.9091,1604541427495,166
-3.0616,4.6822,9.3484,1604541427515,166
-2.6124,4.0867,9.2247,1604541427535,166
-1.3698,3.4154,8.7658,1604541427875,166
-1.5985,3.6017,9.0486,1604541427895,166
-1.7943,3.632,8.9901,1604541427915,166
